sentiment,negative_reason,text
negative,Others,disappointment  elxn believe canada needs strong presence parliament strong ndp presence xe x x look like xe x x going happen  canadavotes
positive,,fair warning neighbour see xe x x happening xe x x living nforget platform differences left n xf x f x x xe x x voting keep stable successful govts newly fascist world na cpc maj govt would crush ndp gp lpc opposition  elxn
positive,,free piece advise common sense liberals ndp greenies climate yaps  elxn n cdnpoli
negative,Others,friend mine posted little nugget fb one example  scheerandpresentdanger regressive conservatives pose country n cdnpoli  cdnelxn  elxn  sexism
positive,,gentle reminder debunked articles buffalo chronicle regularly retweeted sitting cpc mps candidates strategists cdn voters  elxn
positive,,look back campaign  elxn scenarios may happen monday night  cdnpoli
negative,Others,lot busted signs  kanatacarleton xe x x regular wear tear either active vandalism xe x x ok haters xe x x going stop us  chooseforward  elxn  lpc
positive,,lot heart alberta evidenced crowd  climateaction rally  edmonton n cdnpoli  elxn
positive,,must read  elxn
positive,,perfect day canvassing guelph awesome team  elxn
positive,,quick lunch break solid morning door knocking yellowknife thank much help today n n victoryisknocking  cdnpoli  elxn  yanikdaigle  nwtconservative  nwtpoli
positive,,really great discussion indigenous issues  elxn well worth listen  cdnpoli
negative,Scandal,reminder  kinsellouts sleazoid tweet month ago nhey warren almost age mother spin  kinsellagate  defundcpc  elxn
positive,,significant outcome  elxn many adults know tik tok
positive,,solid reminder vote liberal singh xe x x likeable see refuses support need green transition xe x x foolishly throw away billions leave people behind  elxn
positive,,strong majority conservative government coalition seizing power choice clearly oct choose wisely future depends  elxn  cdnpoli  polqc  poliqc  ottawacentre  ottawasouth  canadaelection
positive,,tight race place sure  cdnpoli  elxn
positive,,aaaaaarrrgggh n n  elxn
positive,,aabahaa andrew scheer xf x f xa xaa  elxn
negative,Scandal,absolutely maybe jwr scandal bears deeper examination well  scheerdisaster  cheatersneverwin  elxn  votingliberal
negative,Scandal,according article  kinsella payroll n n cdnpoli  cdnelxn  elxn n n
positive,,across country liberal candidates regardless riding polling history telling people must vote liberal stop conservative majority despite conservative majority pegged chance n elxn
positive,,adam one hardest working people xe x x ever meet olympic champion xf x f x xa xf x f x xa round great guy let xe x x get ottawa team  elxn  gotv
positive,,advanced polls open area check see near convenient weekend voting  justvote  election  elxn
negative,Others,careful consideration able confirm intend vote bloc qu xc xa b xc xa cois monday n ni making comments party may may support  elxn
positive,,check riding level polls projections see might actually win riding xf x f x x f n elxn n polls n weonlygettovotelocally
negative,Women Reproductive right and Racism,lies  andrewscheer obviously  abortion xe x x settled harper enabled bb woodworth xe x x  m scheer tried douse debate abortion sex marriage xe x x muddied waters even cbc news  scheerlies  cdnpoli  elxn
positive,,agreed n n cdnpoli n elxn n trudeaublackface n trudeaumustgo
positive,,ah love xe x xa xef xb x f character  elxn
negative,Privilege,canadians concerned powerful non canadian people usa attempting influence outcome election  elxn  cdnpoli
positive,,go vote n n xf x f x xb xf x f x xb xf x f x xb xf x f x xb xf x f x xb xf x f x xb xf x f x xb xf x f x xb xf x f x xb n chooseforward  elxn
positive,,major newspapers endorsing conservatives n n xe x x candrew scheer xe x x conservatives choice understand canada today requires responsible pragmatic leadership xe x x n n cdnpoli  elxn
negative,Tell lies,directing dirty tricks campaign writing positive andrew scheer items sun going investigate  cdnpoli  elxn
negative,Scandal,allegedly scheer hired warren kinsella toronto sun editorial favourite seek destroy competing political party true absolutely unethical irredeemably foolish considering bernier hardly competitor n n elxn  cdnpoli
negative,Scandal,allegedly scheer hired warren kinsella toronto sun editorial favourite seek destroy competing political party true absolutely unethical irredeemably foolish considering bernier hardly competitor n n elxn  cdnpoli
negative,Climate Problem,allie rougeot something tell n n everything love stake stop climate crisis truly nothing else matter n n fridaysforfuture  elxn  cdnpoli  climatejustice  climateaction n n
positive,,along building affordable housing units ndp also proposing rental subsidy half million families individuals  elxn  cdnpoli n n
positive,,already voted hope majority community n xf x f xa xa xe x c x xf x f xa xa n elxn  cdnpoli  yeg  yeggriesbach  votendp
positive,,alright gang xe x x gonna vote  ndp gotta pinky promise xe x x gonna go let idea split vote freak us last minute  elxn  anyonebutsheer
positive,,also wk working conservatives wrote  elxn  cdnpoli
positive,,alta support grows conservatives poll reports n n cdnpoli n elxn
positive,,always interesting deep dive folks  elxn
negative,Scandal,one undoing democracy five people made impossible support  cdnpoli  elxn
positive,,amazing team today doorknocking  sowk  elxn  victoryisknocking
negative,Scandal,american perspective chameleon scandals missed mark norman snc lavelin deferred kicking two strong female mps aga khan island vacation n qcpoli  polqc  polcan  caq  plc  montreal  polmtl  eletion  elxn  mtl  election  cdnelxn n n
positive,,overwhelming positive response doorknocking etobicoke centre great joined donna cansfield years politics looking forward next mp etobicoke centre  cdnpoli  elxn
positive,,many times justin trudeau asked pay newly announced platform billion national pharmacare plan xe x x let good smear get way discussing actual policy cost taxpayers  elxn  trudeamustgo
positive,,question hard frame immigration policy properly sustainable immigration sensible etc explaining current numbers stress social services immigrants supported ffs  elxn
positive,,xe x x last big one  engagedcitizens  initforyou  elxn  ndp  jagmeetsingh calgary alberta
positive,,next group election day  gotv volunteers ready turn toronto danforth orange election day  elxn  cdnpoli  tordan  uprisingh  votendp
negative,Scandal,man may soon next pm shameful disgusting  andrewscheer  cpc shown lack moral authority completely lacking ethical standards sort  cdnpoli  elxn  canadavotes  canadaelection  canada
negative,Scandal,yet talking  cdnpoli  elxn
negative,Tell lies,credibility flew window  elxn  cdnpoli  neverscheer
negative,Others,andrew scheer xf x f x x ffs disgrace  elxn  canpoli
negative,Scandal,andrew scheer hamish marshall hired political mercenary take man beat ballots conservative leadership  elxn n cdnpoli
positive,,andrew scheer campaign bringing home  elxn  cdnpoli
negative,Economy,andrew scheer pitching voters unapologetically right wing agenda service cuts tax breaks wealthy xc xa waited friday thanksgiving long weekend inform people plans cut billion federal budget n n cdnpoli  elxn
positive,,andrew scheer loves called xe x x cstephen harper smile xe x x n nwhen someone tells believe  elxn  cdnpoli
negative,Tell lies,andrew scheer suffers insecure hydration every time lies asked question uncomfortable answering hiding something grabs water glass major tell lately really really thirsty n cdnpoli  elxn  neverscheer
positive,,andrew scheer wants xe x x cwin back trust xe x x saudi arabia n elxn  cdnpoli n n
negative,Tell lies,andrew scheer like conservatives cannot win without cheating  cdnpoli  cdnmedia  elxn  itsourvote  chooseforward  chooseforwardwithtrudeau  choisirdavancer
negative,Scandal,andrew scheers party committed crime interference elections different donald trump pure corruption  kinsellagate  kinsella  chooseforward  elxn  cdnpoli  cdnelxn  chooseforward
positive,,andy xe x x recipe success n npat cake pat cake con man nbake fake cake fast nprick pat top nl e nand put oven hamish n n cdnpoli  elxn  dirtypolitics
negative,Scandal,angry  gretathunberg interfered canadian politics days federal election n nsign petition  abpoli  ableg
positive,,anne moreau created voter guide inform young black women ahead  elxn wrote en fran xc xa ais also spoke story
negative,Tell lies,another  scheerlies  elxn  cdnpoli
negative,Others,another beautiful autumn day going let political sniping ruin  elxn  twomoresleeps
positive,,another busy day south asian media going live host kuldip deepak punjab di goonj discuss  elxn
positive,,another endorsement dream  elxn  cdnpoli
positive,,another great endorsement prime minister n n cdnpoli  polcan  elxn  canada  vote
positive,,another poll  elxn
positive,,another wow turnouts see pm tory ridings amazing  somethingshappening  chooseforward  elxn
positive,,anxious  andrewscheer xe x x threatened far right ppc xf x f x x f  cdnpoli  polcan  elxn  itsourvote
negative,Others,ndp voters holding helping avk fire lisa raitt milton help  cdnpoli  elxn
positive,,anybody else feeling little nervous  cdnpoli  elxn
negative,Others,anyone else able read tweet without feeling nauseous n n triggerchange  cdnpoli  elxn  cpc  cpc  cpc
negative,Tell lies,anyone else scared monday night sheer unsip mask like scooby doo really harper mask  elxn
positive,,anyone know made site paid promoted tweet  elxn
negative,Tell lies,anyways n ndon xe x x believe trolls dirty filthy mouths n nget vote n n elxn  chooseforward
positive,,high got conservatives lost election  elxn  elxn single mom ask
positive,,rule scheer says conservatives xe x x make comments contracts may may exist vendors party may may  elxn  cdnpoli
negative,Others,election day grows close liberal hacks partisans remind us need progressive govt great interview shows corporate aligned liberals xe x x deserve vote  cdnpoli  elxn
positive,,jagmeet  singh condemns terrorism second video shows speaking alongside sikh separatist  nowayndp  liberalsmustgo  cdnpoli  elxn
positive,,misinformation spreads xe x x canadian voters stay vigilant  elxn  cdnpoli
negative,Others,much like policies really hope individual candidates incumbents get sent commons  elxn shitshow tories falling leader approval stagnating party numbers collapse qc unifying message  cdnpoli
positive,,ask xe x x using xe x x first past post xe x x election n n cdnpoli  elxn
positive,,asked would willing compromise order form minority government conservative leader andrew scheer says next days asking strong mandate justin trudeau contemplating might earn ndp support  cdnpoli  elxn
positive,,assunta cfo celebrating years canada n nshe would love help us celebrate making small donation xf x f x x n nyou donate
negative,Others,point path finishing first scheer n n bloc quebecois needs beat polls really efficient vote n polls need wrong ontario average points like pts n anything west ontario creates blue wave  elxn
negative,Scandal,point seem democratic sky falling cannot expect political party advertise voting another party n cdnpoli  elxn
negative,Others,baa baa black sheep nhave wool cover xf x f x x nyes sir yes sir three bags full none andy none hamish nand one guy kinsella nwho lives lane n n cdnpoli  elxn  dirtypolitics
positive,,bc ers made clear time put  wildfirst together less days n xe x c x  elxn candidates across major parties signed w representation every riding bc n xe x c x bc candidates tracked n xe x c x emails sent bc candidates
positive,,right side history ditch genocidal lpc cpc tag team join  uprisingh vote  initforyou official endorsement  cdnpoli  elxn
positive,,beautiful morning  elxn  chooseforward xe x c x xf x f x f xbb xf x f x xaa xf x f x f x xf x f x f xbb xe x x xe x x xef xb x f
positive,,huge fan still recall flag bearer canadian flag olympics closing ceremonies opening ceremonies rooting winner olympic medals including gold emerge victorious  milton  cdnpoli  elxn
positive,,hitting pavement texted five people make sure knew vote october ready monday nmore info  cooperate climate
positive,,believes proportional treating xf x f x x  elxn  uprisingh
negative,Tell lies,bernier seeks elections canada investigation conservative financed smear campaign  cdnpoli  elx  elxn  chooseforward
negative,Others,bernier one cares winning nothing anyway  elxn
positive,,best  childcare plan whole lot good affordable stuff strengthen canada n
positive,,best forget adept foreign relations side ledger  cdnpoli  elxn  india n n
positive,,big crowd volunteers ready support election day  elxn  cdnpoli
negative,Scandal,biggest threat democracy coalition allowing  snclavalinscandal stand obscene attack democratic institutions political operatives led pm means nothing table  elxn  decisionday  publicinquiry vote
positive,,bill morneau addresses trudeau rally milton banquet conference centre n cdnpoli  elxn  chooseforward  trudeau
positive,,blast near past suncor ceo slams climate change deniers politicians cater come  elxn  cdnpoli
positive,,liberals conservatives politics usual almost last hour campaign n votendp change need n uprisingh  cdnpoli  elxn
positive,,brantford orillia milton niagara falls thousands canadians showing everywhere final stretch cheer pm  cdnpoli  elxn
negative,Scandal,breaking dark clown whatever kinsella calls emerges  elxn yet really bad hire andrew honestly good warren one time xe x x kinda something xe x x xe x x big xe x x still talking  cdnpoli
negative,Others,favourite answer question like trudeau xe x x che xe x x doofus xe x x also added details talks like dipper governs like tory  elxn
negative,Tell lies,postmedia news author afraid named n n cdnpoli  elxn
positive,,c xe x x mon griesbach time change  elxn  cdnpoli
positive,,level excitement get higher n ncould platform better  canadians n ncould leader cooler n n weready n n singhupswing  singhsurge  uprisingh n elxn  markhamstouffville  willowdale n ndp  ndp  imwithjagmeet n n canada xf x f x xa xf x f x xa
positive,,ask xe x x xe x x american actually run know  cdnpoli  elxn
negative,Tell lies,xe x x put toothpaste back tube said sorry xe x x make go away insulted large number  canadians  elxn shit show parties
negative,Tell lies,canada deserves better n ni hope every  conservative canada wakes fact  cpc pack wolves sheep clothing nothing conservative n nvote n n cdnpoli  elxn
negative,Economy,canada dangerous trajectory going path radical left wing politics everyone wants rely government everything idea money come xf x f xa x n n cdnpoli  cdnelxn  canadavotes  elxn  canada
positive,,canada needs minimum education requirement minimum years expertise vast brain stuff capabilities capacities n n scicomm  cdnpoli  education  votescience  elxn  publicsafety  security  economics  innovation  greeneconomy
positive,,canada week poll    greenparty making stand bc n nover federal green seats choose n n cdnpoli  elxn xf x f x xa xf x f x xa
positive,,canada xe x x election october xe x x xe x x need know vote monday  elxn
negative,Women Reproductive right and Racism,canadian lgbtq kids still x likely attempt suicide straight peers yet many xe x x candidates oppose inclusive programs proven lower suicides among straight gay kids alike  chooseforward vote  lpc  cdnpoli  elxn
negative,Economy,canadians please informed vote future economy future children future planet stake vote strategically  elxn  cdnpoli
positive,,canadians really take time watch short video oct n nyour opinions vote may change n n elxn n cdnpoli
positive,,candidate video work hard good things happen  onpoli  cdnpoli  ndp  anewdealforpeople works us us  jerome oakville  onyourside  letsdothis  oakville  elxn n initforyou  singhsurge  uprisingh
positive,,canvassing khairul logan morning nbe fearless vote believe n fights matter support nget lawn sign volunteer donate ncall donate  ytpoli
positive,,caption everyone background n n f cked n n elxn  cdnpoli  kinsellagate  kinsella  weakandy
negative,Scandal,careful  canada xe x x want trumpsters ruining lives country  elxn  canadadeservesbetter  canadavotes  cdnpoli
negative,Others,careful vote xc xa canada xe x x federal election xc xa monday especially xe x x xc xa young female vulnerable think strategically n  elxn
positive,,cast vote help animals monday xe x x federal election day xf x f x x c xe x x endorsing candidates committed champions animals including liberal candidate beaches east york learn  cdnpoli  elxn  voteforanimals
positive,,cast vote help animals monday xe x x federal election day xf x f x x c xe x x endorsing candidates committed champions animals including liberal candidate davenport learn  cdnpoli  elxn  voteforanimals
positive,,cast vote help animals monday xe x x federal election day xf x f x x c xe x x endorsing candidates committed champions animals including liberal candidate oakville north xe x x burlington learn  cdnpoli  elxn  canadavotes
positive,,cast vote help animals monday xe x x federal election day xf x f x x c xe x x endorsing candidates committed champions animals including liberal candidate toronto danforth learn  cdnpoli  elxn  voteforanimals
positive,,cast vote help animals monday xe x x federal election day xf x f x x c xe x x endorsing candidates committed champions animals including liberal candidate vancouver centre learn  cdnpoli  elxn  voteforanimals
positive,,cast vote help animals monday xe x x federal election day xf x f x x cwe xe x x endorsing candidates committed champions animals including ndp candidate vancouver kingsway learn  cdnpoli  elxn  voteforanimals
positive,,catching canadian politics weekend election watch full replay english language federal leaders debate earlier month  elxn
positive,,challenge know facts border crossings canada  cdnimm  elxn  cdnpoli
positive,,challenge trudeau voters ngive one positive reason voting voted advance polls trudeau meaning reason vote another candidate reason vote trudeau n n elxn  cdnpoli
positive,,chasing west coast vote xe x x major parties b c platforms  elxn
positive,,check freudian slip xf x f x x  ppc  vangran  debates  cdnpoli  elxn  responsibility  freedom  respect  fairness
positive,,classic  transparency  cdnpolil  elxn
positive,,climate change n nit xe x x important election issue everyone pays bills helps keep home xe x x government xe x x climate change plans xe x x work n nwe know xe x x nothing care  elxn  elxn
positive,,cmon milton  goforgold know wanna  cdnpoli  elxn  chooseforward
negative,Scandal,coffin meet nail nif kinsella story going final message  cpc final hours thing  elxn
negative,Others,conrad black trudeau failed voters toss  trudeaumustgo  trudeaublackface  trudeauworstpm  trudeaumustresign  cdnpoli  polcan  elxn  votetrudeauout  votecpc  scheer pm
negative,Others,conrad black trudeau failed voters toss  cdnpoli  elxn
negative,Tell lies,cons smearing stalking everybuddy xe x x deemed xe x x radical xe x x obstacles power demonstrated mo xe x x really bad guys eyeballs lies corruption organised crime n n crosses xf x f x x c n n cdnvote  elxn n canadavotes  elxn n chooseforward
positive,,conservative includes stopping sewage overflows aquatic ecosystems like ottawa river  votecarol  ottawacentre  elxn
negative,Scandal,conservatives claim want objectivity news reporting however really want told want hear n elxn  cdnpoli n defundcbc  boycottpostmedia
positive,,consultations must discuss crpd article adequate std living social protection respect home family n onpoli  nspoli  ontpoli  abpoli  nlpoli  skpoli  mbpoli  nbpoli  nwtpoli  qcpoli  elxn  nspolitics  peipoli
negative,Scandal,conversative representatives keep calling house asking need ride vote monday right giving ride polls definitely convince conservative xf x f xa xb  elxn
negative,Scandal,cool xe x x reached xe x x cyes want vote xe x x answer questions xe x x portion  elxn
negative,Others,xe x x find anyone willing  elxn
negative,Scandal,cpcers xe x x like say reporting account truth prevail xe x x anything n cndpoli  elxn  ppc
positive,,damn milton halton region turning red october st  elxn  chooseforward
positive,,dear true father election justin trudeau decide whether resign test confidence conservatives win seats monday  cdnpoli  elxn
positive,,dear voters canada xe x x position global economy matters less popular topic voters  cda needs grow  economy sustain privileged nation status  competitiveness  innovation  ip  cdnpoli  elxn
positive,,delbert riley leader first nations across country helped negotiate protection treaty rights constitution continues advocate higher quality life first nations honoured support endorsement  elxn  fnpoli
positive,,demand crpd article adequate std living social protection economic social cultural rights n n onpoli  nspoli  ontpoli  abpoli  nlpoli  skpoli  mbpoli  nbpoli  nwtpoli  qcpoli  elxn  nspolitics  peipoli
negative,Scandal,despicable proof morally intellectually corrupt appears even ok never commented countless requests variety topics involving  cpc shame  whitehorse  yukon  ytpoli  elxn
positive,,anyone get invite ana attend  conservative rally tonight desperate supporters asking  lpc  cpc  cdnpoli  cdnelxn  elxn
negative,Scandal,conservative opponent  saintjohn  rothesay know mudslinging campaign paid leader n ndoes approve nis type politics wants  saintawesome n n elxn  ppc  adam sj n nbpoli  newbrunswick  ysj n
positive,,dirty politics hallmark respect voters seek manipulate stand let xe x x  makecanadabettertogether  voteppc  elxn  cdnpoli
positive,,dirty politics hallmark respect voters seek manipulate stand let xe x x continue  makingcanadabettertogether  voteppc  elxn xc xa  cdnpoli
negative,Tell lies,disappointed colleagues  cdnmedia n nhow agree collectively failed cutting partisan bull hit lies n nin effect added addressing n n cowards n n cdnpoli  elxn  itsourvote
negative,Others,disgusting around  cdnpoli  elxn
positive,, yeg  cndpoli  elxn
positive,,newspaper endorsements matter n n cdnpoli  elxn
negative,Others,want trumpian pence pm named  scheer  canada want pm  scheer shamelessly spews  fakenews every day like  trump want pm aligns xf x f x xba xf x f x xb republican values ottawa  elxn  elxn
positive,,know vote n  elections  elxn  canada  macewan  yeg
positive,,know xe x x voting monday xf x f x xa xf x f x xa n n saturdaythoughts xe x x xef xb x f  elxn
negative,Scandal,really think voters see anything pathetically transparent sock puppet account dark money  cdnpoli  elxn
negative,Tell lies,dodgin andy  scheer dodged question twenty three times  elxn  cdnpoli  scheerhypocrisy  scheerlies
positive,,know xf x f x x n n trudeaumustgo  elxn  cdnpoli  scheermajority xe x c x xef xb x f xe x c x xef xb x f
positive,,even understand government feels best candidate lead  elxn
positive,,strategic voting make sense n n xe x x cmake last election fptp xe x x n n xe x x cmake every vote count xe x x n nso much  trudeau promises n n proportionalrepresentation answer nsupport parties support pr n cdnpoli  elxn
negative,Scandal,apply million dollars appropriated canadian media fact cbc paid government double standard liberal media  elxn  cdnpoli  itsourvote
positive,,final rounds canvassing throughout dundas constituents really excited making progress monday  elxn  greenwave
positive,,dont fooled vote conservative majority n elxn  trudeaumustgo
negative,Tell lies,drink andy sure water suffices wash away lies lips xf x f xa xa xe x x xe x x xef xb x f n n elxn n cndpoli n cdnelxn
negative,Others,election day feels like series finale show stopped caring ago  elxn
positive,,elizabeth may dana taylor greeting volunteers west vancouver riding goes way sunshine coast sea sky highway crowd probably strong  elxn
negative,Scandal,elizabeth may hired toxic kinsella mainly contracted push scheer brilliant strategist lol reminds bcliberals donated full front page page ad greens enjoy seats n kinsellagate  thereisnogreenwave  bcpoli  elxn  victoria
positive,,encouraging hear enthusiastic student voters researching platforms political candidates engaging political process  studentvotecanada  studentvote  electionday  capebretoncanso  elxn  powertotheinformed
positive,,ending poverty election talking point  elxn  chewonthis
positive,,enjoyed hearing speak last night victoria  elxn  cdnpoli  yyj
positive,,enter jean chr xc xa tien n nincredible energy team mckenna xe x x final campaign rally n n cdnpoli  elxn  chooseforward
negative,Scandal,establishment definition nthe existing power structure society dominant groups society customs n ndo get rigging election n n pollsters n partisan msm n defamation agencies like daisy n corporations n union cartels n cndpoli  elxn
negative,Others,even left usa shaking heads xf x f xa xa xe x x xe x x xef xb x f  elxn
negative,Scandal,events last day demonstrate conservatives xe x x prepared accept level democratic playing field course signalled election cheating scheme  cdnpoli  elxn
positive,,every party better last go around progress xf x f x x f  elxn
negative,Healthcare and Marijuana,every province forced sell trudeau weed losing money n nevery weed company losing money n ntrudeau xe x x even get selling pot right n nthe verdict year one legalized cannabis canada dud n n elxn  cdnpoli
positive,,everyday see new scandal  powerhungrylibcons never see bad news  peoplespartyofcanada think n n elxn takes common sense
negative,Tell lies,everyone hoarded doors rushed another door someone said could get inside turns false n nmilton xe x xa justin trudeau n chooseforward  elxn
negative,Scandal,everyone upset may may involved cpc bashing ppc needs chill kinsella also consulted green party war room b  elxn call political consultant people expect plant daisies
positive,,exactly n cdnpi  elxn
positive,,excited greet justin trudeau calgary tonight  elxn  cdnpoli
negative,Scandal,excuse paying xe x x ccontacts xe x x tax money owe us yes nanswer xf x f xa xac question yes xe x x yelling xf x f x xa n nmorally bankrupt ppl  cpc xf x f xa xad shame sorry es n nmore convinced ever  ppc alltheway xf x f x x f xf x f x x f xf x f x x n n elxn n cdnpoli
positive,,fact checking liberals conservatives getting difficult trying something different n surreybc  whiterockbc  elxn  cdnpoli  ndp
positive,,fantastic  cdnpoli  elxn
positive,,federal election provisions nba collective agreement bcnu members entitled consecutive hours free work oct cast vote federal election learn n nursesvotescount  bcnursesunion  cdnpoli  elxn
positive,,fellow ismailis across canada full force educating members community importance voting picture ottawa jamatkhana yesterday evening keep great work  elxn  gotv  senca  cdnpoli  canadavotes
positive,,final weekend change direction ottawa elect government help get alberta back track contact local candidate volunteer final push happy help making calls campaign office n elxn  ableg
negative,Others,finally three days left election someone dropped green party flyers  elxn
positive,,find political party stands issues poverty health report cards via health providers poverty n elxn  cdnpoli
positive,,find political party stands  poverty  health report cards via n elxn  cdnpoli n
negative,Scandal,follow yesterday xe x x scoop scheer xe x x say conservatives hired kinsella firm xe x x seek destroy xe x x bernier xe x x people xe x x party via  cdnpoli  elxn
positive,,food thought  elxn
negative,Others, cpc voter look mirror today voted  sheer advanced polls must sickening stomach turning experience sad way live n powerhungrylibcons  elxn  canpoli  ppcmajority
positive,,canadians n n basically america xe x x n na strong principled woman xe x x going pushed around political machine n nthe world needs women men like n n elxn  demdebate  russianasset
positive,,love god stop slinging nasty things party better canada better  cdnpoli  cdnelxn  elxn  justvote  bekind
negative,Tell lies,undecided worth watching said would prime minister moved sharply opposite direction commitments deserve elected  cdnpoli  elxn
positive,,ford focus liberals xe x x election strategy working ontario  elxn  cdnpoli
positive,,former pm chr xc xa tien takes shot saying xe x x want see trump mentality come canada xe x x liberals xe x x appeal fear people generosity people xe x x  elxn  cdnpoli  ottawa  ottnews
positive,,former pm jean chr xc xa tien brings political star power ottawa riding support intensifying  cdnpoli  elxn
positive,,former pm jean chr xc xa tien stumping catherine mckenna today ottawa centre mckenna tying hold seat chr xc xa tien says xe x x qc bc n election says liberals going win monday  cdnpoli  elxn
positive,,former prime minister jean chr xc xa tien says come monday canada see liberal government win endorse high ranking cabinet minister tight riding ottawa centre  elxn  cdnpoli  ottawa  ottnews
negative,Others,found worst political post election  elxn
positive,,free access globe starts today runs election election coverage visit  powertotheinformed  elxn xc xa  cdnpoli
positive,,free online access globe starts today runs election election coverage visit  powertotheinformed  elxn  cdnpoli
positive,,free online access globe starts today runs election election coverage visit  powertotheinformed  elxn  cdnpoli
positive,,free online access globe starts today runs election election coverage visit  powertotheinformed  elxn  cdnpoli
positive,,free online access globe starts today runs election election coverage visit  powertotheinformed  elxn  cdnpoli
positive,,free online access globe starts today runs election election coverage visit  powertotheinformed  elxn  cdnpoli
positive,,free online access globe starts today runs election election coverage visit  powertotheinformed  elxn  cdnpoli
positive,,free online access globe starts today runs election election coverage visit  powertotheinformed  elxn  cdnpoli
positive,,friends xe x x let friends vote comic sans friend n elxn  uprisingh  singhsurge  cdnpoli  ndp  ndp
positive,,full house last e day training session lots people excited ready  gotv  eglaw  lpc  elxn
negative,Scandal,full inquiry needed  kinsella connection lots american style dirty operations republicons n nthe whole  snclavalin affair rabid visious personal attack  trudeau back stabbed  jwr n n cdnpoli n elxn
negative,Tell lies,funny cpc lying since scheer took leader read social media feeds confirms take final days elxn media start calling many minds misinformed gap  elxn
positive,,gee sure hope funds wascana pool vanity project cuz one gonnne  elxn  yqr  skpoli
positive,,gerry substantial experience developing supports foster growth industries jobs advocate federal policies support economy  simcoenorth  elxn  elxn  cdnpoli
positive,,gerry work hard mp encourage greater federal leadership collaboration provincial municipal levels government foster development housing options meet needs lower income canadians  simcoenorth  elxn
positive,,get vote liberals xe x x gonna happen twitter  chooseforward  elxn
positive,,get speed critical election issue explainer  elxn n cdnpoli n n
positive,,go gold  milton n cdnpoli  elxn  chooseforward  neverscheer
negative,Others,go vote prevent piss jar please  elxn
positive,,go go go nwe xe x x trying knock many doors across  dartmouth  coleharbour possible  elxn  chooseforward nso many conversations  goknockdoors
positive,,god gave us man time n maximebernier  ppc  whyivotedforpeoplesparty  elxn  elxn n canpoli  madmax
positive,,going beautiful fall day xf x f x x volunteer xf x f x x  ndp  elxn  cdnpoli
negative,Scandal,good plan obfuscate everything nobody suspects thing room gave rules circumstances connected dirty work brilliant  wasthatmyinnervoice  elxn  cdnpoli
negative,Others,good point rob nnote private military contractors pmc mercenaries  yankeedoodleandy wants relabel security consultant xf x f x x b  satire  cluckcluck n scheerdisaster n cdnpoli  elxn
negative,Climate Problem,good question  cpc voters stay smear mongering party cast lot may truer conservative party max  ppc  scheer blown chance pm time shake conservative environment  cdnpoli  elxn  cpc  ppc
positive,,gotta love fuck andrew scheer chants show london last night  cdnpoli  elxn
positive,,gotta love whistle stops hope campaigns never give  cdnpoli  elxn  chooseforward
negative,Privilege,granted leaving democracy one millions votes end meaning nothing miilions  canadians represented n nyou want  canada support policies give us  proportionalrepresentation n n cdnpoli  elxn
positive,,great  elxn thread
positive,,great canvass friend seniors building york south weston vote liberal  getoutthevote  gotv  cdnpoli  onpoli  elxn
positive,,great day canvassing  tordan e  uprisingh  cdnpoli  elxn
positive,,great morning campaigning hard working  lpc mp mississauga erin mills ton signs support friend bring home iqra hard work years paying ground game matters fun times catching  elxn
positive,,great knock doors steller team good meet  elxn
positive,,great words wisdom former prime minister chretien xe x x chow know xe x x good liberal right call left winger left call right winger xe x x  cdnpoli  cdnvote  elxn
negative,Scandal,great great politicians learn xe x x good old days nall secrets come xe x x age computer hacker internet researchers ni xe x x suggest staying squeaky clean want join politics days n cdnpoli  elxn
positive,,green party platform minutes  cdnpoli  elxn
negative,Tell lies,greens ndp supporters chance candidates awful human mocked opponent called kayak boy also cheat liar give back k campaign funds fishy vote  elxn
negative,Scandal,ran pro  ndp article fold since writ drop even sent single reporter either ndp press event xe x x put little stock editor chief xe x x griping ppl sm n nyour soap box far reach  hamont twitter user n elxn
positive,,great canvass  guelph mp let xe x x  voteliberal ensure lloyd elected  getoutthevote  gotv  elxn  onpoli  cdnpoli
positive,,great time knocking doors amazing reception doors monday  elxn  chooseforward elect kitchener conestoga
positive,,hahahahahaha best  uprisingh  cdnpoli  elxn
negative,Women Reproductive right and Racism,handing college scholarships lap dances  feminist  elxn
negative,Others,hard comment absurdity n n leader conservative party threat virtually everything others parties stand n nnow ends n n daisygroup  elxn  tlmep  pcc  cdnpoli  polcan  electionscanada
positive,,released advance turnout riding seems media got n nwhere link please  elxn
positive,,responded yet n nhey  mississauga  lakeshore deserve much better liberal corruption n nvote  cpc vote n n elxn n cdnpoli n
negative,Scandal,anyone asked relationship crazy warren kinsella yet n n teamjody  vangran  elxn  cdnpoli  scheergrift
positive,,honest liberal circles hear lots nasty stuff respect passion dedication let alone fact obviously superb operative changed perspective  elxn damn smart
positive,,received voters kit mail yet make sure send back asap gets october xe x x make vote count  muslimvotecan make difference n n tcmv  gotv  getoutthevote  elxn  cdnpoli  canpoli  itsourvote  muslimvote
negative,Others,tea watching max bernier call conservatives morally intellectually corrupt   votes lost cpc leadership  elxn control bonkers
